Module	ENSEBML	SYMBOL	Description
magenta	ENSMUSG00000006740	Kif5b	kinesin family member 5B
magenta	ENSMUSG00000010608	Rbm25	RNA binding motif protein 25
magenta	ENSMUSG00000018501	Ncor1	nuclear receptor co-repressor 1
magenta	ENSMUSG00000019852	Arfgef3	ARFGEF family member 3
magenta	ENSMUSG00000020074	Ccar1	cell division cycle and apoptosis regulator 1
magenta	ENSMUSG00000020530	Ggnbp2	gametogenetin binding protein 2
magenta	ENSMUSG00000020863	Luc7l3	LUC7-like 3 (S. cerevisiae)
magenta	ENSMUSG00000020949	Fkbp3	FK506 binding protein 3
magenta	ENSMUSG00000021282	Eif5	eukaryotic translation initiation factor 5
magenta	ENSMUSG00000022629	Kif21a	kinesin family member 21A
magenta	ENSMUSG00000022708	Zbtb20	zinc finger and BTB domain containing 20
magenta	ENSMUSG00000024002	Brd4	bromodomain containing 4
magenta	ENSMUSG00000024197	Plin3	perilipin 3
magenta	ENSMUSG00000025979	Mob4	MOB family member 4, phocein
magenta	ENSMUSG00000026020	Nop58	NOP58 ribonucleoprotein
magenta	ENSMUSG00000026083	Eif5b	eukaryotic translation initiation factor 5B
magenta	ENSMUSG00000026353	Ubxn4	UBX domain protein 4
magenta	ENSMUSG00000026374	Tsn	translin
magenta	ENSMUSG00000026434	Nucks1	nuclear casein kinase and cyclin-dependent kinase substrate 1
magenta	ENSMUSG00000027012	Dync1i2	dynein cytoplasmic 1 intermediate chain 2
magenta	ENSMUSG00000027620	Rbm39	RNA binding motif protein 39
magenta	ENSMUSG00000027706	Sec62	SEC62 homolog (S. cerevisiae)
magenta	ENSMUSG00000028788	Ptp4a2	protein tyrosine phosphatase 4a2
magenta	ENSMUSG00000030180	Kdm5a	lysine (K)-specific demethylase 5A
magenta	ENSMUSG00000031232	Magt1	magnesium transporter 1
magenta	ENSMUSG00000031392	Irak1	interleukin-1 receptor-associated kinase 1
magenta	ENSMUSG00000032076	Cadm1	cell adhesion molecule 1
magenta	ENSMUSG00000032212	Sltm	SAFB-like, transcription modulator
magenta	ENSMUSG00000032407	U2surp	U2 snRNP-associated SURP domain containing
magenta	ENSMUSG00000033499	Larp4b	La ribonucleoprotein domain family, member 4B
magenta	ENSMUSG00000034349	Smc4	structural maintenance of chromosomes 4
magenta	ENSMUSG00000035569	Ankrd11	ankyrin repeat domain 11
magenta	ENSMUSG00000036309	Skp1a	S-phase kinase-associated protein 1A
magenta	ENSMUSG00000042133	Ppig	peptidyl-prolyl isomerase G (cyclophilin G)
magenta	ENSMUSG00000055204	Ankrd17	ankyrin repeat domain 17
magenta	ENSMUSG00000055436	Srsf11	serine and arginine-rich splicing factor 11
magenta	ENSMUSG00000063273	Naa15	N(alpha)-acetyltransferase 15, NatA auxiliary subunit
magenta	ENSMUSG00000070544	Top1	topoisomerase (DNA) I
magenta	ENSMUSG00000094483	Purb	purine rich element binding protein B
