Genes	Modules
ENSMUSG00000000184	skyblue3
ENSMUSG00000000605	skyblue3
ENSMUSG00000001175	skyblue3
ENSMUSG00000002107	skyblue3
ENSMUSG00000006740	skyblue3
ENSMUSG00000008575	skyblue3
ENSMUSG00000011960	skyblue3
ENSMUSG00000018395	skyblue3
ENSMUSG00000018501	skyblue3
ENSMUSG00000019907	skyblue3
ENSMUSG00000019943	skyblue3
ENSMUSG00000020074	skyblue3
ENSMUSG00000020640	skyblue3
ENSMUSG00000020863	skyblue3
ENSMUSG00000020982	skyblue3
ENSMUSG00000022023	skyblue3
ENSMUSG00000022048	skyblue3
ENSMUSG00000022255	skyblue3
ENSMUSG00000022708	skyblue3
ENSMUSG00000022961	skyblue3
ENSMUSG00000023110	skyblue3
ENSMUSG00000024096	skyblue3
ENSMUSG00000024261	skyblue3
ENSMUSG00000024290	skyblue3
ENSMUSG00000025326	skyblue3
ENSMUSG00000026083	skyblue3
ENSMUSG00000026434	skyblue3
ENSMUSG00000026740	skyblue3
ENSMUSG00000026918	skyblue3
ENSMUSG00000027012	skyblue3
ENSMUSG00000027304	skyblue3
ENSMUSG00000027309	skyblue3
ENSMUSG00000027852	skyblue3
ENSMUSG00000028484	skyblue3
ENSMUSG00000028565	skyblue3
ENSMUSG00000029004	skyblue3
ENSMUSG00000029629	skyblue3
ENSMUSG00000030067	skyblue3
ENSMUSG00000031232	skyblue3
ENSMUSG00000031403	skyblue3
ENSMUSG00000031939	skyblue3
ENSMUSG00000032076	skyblue3
ENSMUSG00000032212	skyblue3
ENSMUSG00000032407	skyblue3
ENSMUSG00000032525	skyblue3
ENSMUSG00000032621	skyblue3
ENSMUSG00000033306	skyblue3
ENSMUSG00000033499	skyblue3
ENSMUSG00000034349	skyblue3
ENSMUSG00000034459	skyblue3
ENSMUSG00000034781	skyblue3
ENSMUSG00000035021	skyblue3
ENSMUSG00000035401	skyblue3
ENSMUSG00000035569	skyblue3
ENSMUSG00000036572	skyblue3
ENSMUSG00000037475	skyblue3
ENSMUSG00000038538	skyblue3
ENSMUSG00000039218	skyblue3
ENSMUSG00000039473	skyblue3
ENSMUSG00000040481	skyblue3
ENSMUSG00000042046	skyblue3
ENSMUSG00000042323	skyblue3
ENSMUSG00000044442	skyblue3
ENSMUSG00000045624	skyblue3
ENSMUSG00000047888	skyblue3
ENSMUSG00000049044	skyblue3
ENSMUSG00000052707	skyblue3
ENSMUSG00000053477	skyblue3
ENSMUSG00000055204	skyblue3
ENSMUSG00000055436	skyblue3
ENSMUSG00000057133	skyblue3
ENSMUSG00000061755	skyblue3
ENSMUSG00000063273	skyblue3
ENSMUSG00000063632	skyblue3
ENSMUSG00000068036	skyblue3
ENSMUSG00000069662	skyblue3
ENSMUSG00000070544	skyblue3
ENSMUSG00000073643	skyblue3
ENSMUSG00000076431	skyblue3
ENSMUSG00000079184	skyblue3
ENSMUSG00000094483	skyblue3
ENSMUSG00000109336	skyblue3
